created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2025-12-17T15:44:01+00:00,1,37.3,71,1.0,,,,
2025-12-17T15:44:21+00:00,2,36.55,71,1.0,,,,
2025-12-17T15:44:44+00:00,3,36.55,77,1.25,,,,
2025-12-17T15:45:05+00:00,4,37.15,82,1.25,,,,
2025-12-17T15:45:27+00:00,5,37.15,86,1.4,,,,
2025-12-17T15:45:49+00:00,6,36.7,94,1.64,,,,
2025-12-17T15:46:10+00:00,7,36.5,92,1.64,,,,
2025-12-17T15:46:31+00:00,8,37.0,92,1.49,,,,
2025-12-17T15:46:52+00:00,9,37.2,99,2.03,,,,
2025-12-17T15:47:15+00:00,10,36.9,105,2.03,,,,
2025-12-17T15:47:36+00:00,11,37.3,91,1.54,,,,
2025-12-17T15:47:56+00:00,12,36.45,80,1.49,,,,
2025-12-17T15:48:17+00:00,13,37.0,80,1.45,,,,
2025-12-17T15:48:38+00:00,14,37.05,80,1.45,,,,
2025-12-17T15:49:00+00:00,15,36.9,80,1.16,,,,
2025-12-17T15:49:53+00:00,16,36.7,77,0.9700001,,,,
2025-12-17T15:50:22+00:00,17,37.15,88,1.11,,,,
2025-12-17T15:50:51+00:00,18,36.7,88,0.91,,,,
2025-12-17T15:51:34+00:00,19,37.2,79,0.8,,,,
2025-12-17T15:52:59+00:00,20,36.7,90,1.0,,,,
2025-12-17T15:53:39+00:00,21,37.35,93,0.8,,,,
2025-12-17T15:54:04+00:00,22,37.1,90,1.0,,,,
2025-12-17T15:54:21+00:00,23,36.9,90,1.0,,,,
2025-12-17T15:54:39+00:00,24,36.85,90,1.0,,,,
2025-12-17T15:54:57+00:00,25,36.55,90,1.0,,,,
2025-12-17T15:55:41+00:00,26,36.7,90,1.14,,,,
2025-12-17T15:55:59+00:00,27,36.9,90,1.14,,,,
2025-12-17T15:57:12+00:00,28,36.85,85,1.23,,,,
2025-12-17T15:58:27+00:00,29,37.0,79,1.09,,,,
2025-12-17T15:58:54+00:00,30,36.85,79,1.09,,,,
2025-12-17T15:59:21+00:00,31,36.9,79,1.09,,,,
2025-12-17T15:59:43+00:00,32,37.0,76,1.09,,,,
2025-12-17T16:00:01+00:00,33,36.4,93,0.8,,,,
2025-12-17T16:00:32+00:00,34,37.3,90,1.14,,,,
2025-12-17T16:00:50+00:00,35,36.65,90,1.14,,,,
2025-12-17T16:01:08+00:00,36,37.2,90,1.14,,,,
2025-12-17T16:01:24+00:00,37,36.55,96,1.37,,,,
2025-12-17T16:01:44+00:00,38,37.1,90,1.14,,,,
2025-12-17T16:02:02+00:00,39,37.2,90,1.14,,,,
2025-12-17T16:02:19+00:00,40,37.15,90,1.14,,,,
2025-12-17T16:02:37+00:00,41,36.95,90,1.14,,,,
2025-12-17T16:02:55+00:00,42,36.5,90,1.14,,,,
2025-12-17T16:04:20+00:00,43,37.0,78,0.8,,,,
2025-12-17T16:05:44+00:00,44,36.7,74,0.8,,,,
2025-12-17T16:06:03+00:00,45,36.6,74,0.8,,,,
2025-12-17T16:06:21+00:00,46,37.05,74,0.8,,,,
2025-12-17T16:06:39+00:00,47,36.95,74,0.8,,,,
2025-12-17T16:06:56+00:00,48,37.35,74,0.8,,,,
2025-12-17T16:07:14+00:00,49,36.55,74,0.8,,,,
2025-12-17T16:07:32+00:00,50,36.7,69,0.8,,,,
2025-12-17T16:07:49+00:00,51,37.35,69,0.8,,,,
2025-12-17T16:08:42+00:00,52,37.35,69,0.91,,,,
2025-12-17T16:09:00+00:00,53,36.65,83,1.27,,,,
2025-12-17T16:09:18+00:00,54,36.65,83,1.27,,,,
2025-12-17T16:09:35+00:00,55,37.0,83,1.27,,,,
2025-12-17T16:09:53+00:00,56,37.25,83,1.27,,,,
2025-12-17T16:11:13+00:00,57,36.85,91,1.37,,,,
2025-12-17T16:11:30+00:00,58,36.95,97,1.51,,,,
2025-12-17T16:11:48+00:00,59,36.65,97,1.51,,,,
2025-12-17T16:12:06+00:00,60,37.15,86,1.51,,,,
2025-12-17T16:12:23+00:00,61,36.9,82,1.51,,,,
2025-12-17T16:12:41+00:00,62,37.0,82,1.32,,,,
2025-12-17T16:13:35+00:00,63,37.15,78,1.09,,,,
2025-12-17T16:13:53+00:00,64,37.15,78,1.09,,,,
2025-12-17T16:14:10+00:00,65,36.9,78,1.09,,,,
2025-12-17T16:14:28+00:00,66,37.15,78,1.09,,,,
2025-12-17T16:14:45+00:00,67,36.9,78,1.09,,,,
2025-12-17T16:15:03+00:00,68,37.0,78,1.09,,,,
2025-12-17T16:15:21+00:00,69,36.45,75,0.91,,,,
2025-12-17T16:15:47+00:00,70,36.85,78,0.86,,,,
2025-12-17T16:16:04+00:00,71,36.65,78,0.86,,,,
2025-12-17T16:16:22+00:00,72,37.35,78,1.04,,,,
2025-12-17T16:16:40+00:00,73,36.6,78,1.04,,,,
2025-12-17T16:16:57+00:00,74,37.35,78,1.13,,,,
2025-12-17T16:17:15+00:00,75,36.7,88,1.13,,,,
2025-12-17T16:17:33+00:00,76,37.15,88,1.13,,,,
2025-12-17T16:17:50+00:00,77,37.2,88,1.13,,,,
2025-12-17T16:18:08+00:00,78,36.9,88,1.13,,,,
2025-12-17T16:18:26+00:00,79,36.65,91,1.37,,,,
2025-12-17T16:18:43+00:00,80,36.85,91,1.37,,,,
2025-12-17T16:19:01+00:00,81,36.9,91,1.37,,,,
2025-12-17T16:19:19+00:00,82,36.9,91,1.37,,,,
2025-12-17T16:19:36+00:00,83,36.8,81,1.46,,,,
2025-12-17T16:19:54+00:00,84,36.4,81,1.13,,,,
2025-12-17T16:20:12+00:00,85,37.25,81,1.13,,,,
2025-12-17T16:20:29+00:00,86,36.85,81,1.13,,,,
2025-12-17T16:21:03+00:00,87,36.85,84,1.32,,,,
2025-12-17T16:21:21+00:00,88,36.55,77,1.42,,,,
2025-12-17T16:21:38+00:00,89,36.55,77,1.42,,,,
2025-12-17T16:21:56+00:00,90,37.1,77,1.42,,,,
2025-12-17T16:22:13+00:00,91,36.65,77,1.42,,,,
2025-12-17T16:22:31+00:00,92,36.75,77,1.42,,,,
2025-12-17T16:22:49+00:00,93,36.7,77,1.42,,,,
2025-12-17T16:23:06+00:00,94,36.8,75,1.51,,,,
2025-12-17T16:23:24+00:00,95,36.9,75,1.51,,,,
2025-12-17T16:24:56+00:00,96,36.65,94,1.56,,,,
2025-12-17T16:28:57+00:00,97,37.1,75,1.56,,,,
2025-12-17T16:31:40+00:00,98,37.1,80,1.71,,,,
2025-12-17T16:34:04+00:00,99,36.9,102,1.09,,,,
2025-12-17T16:36:33+00:00,100,36.4,79,1.09,,,,
2025-12-17T16:37:46+00:00,101,36.65,72,1.04,,,,
2025-12-17T16:38:04+00:00,102,36.9,70,1.04,,,,
2025-12-17T16:38:22+00:00,103,36.9,70,1.23,,,,
2025-12-17T16:39:20+00:00,104,37.3,63,0.8,,,,
2025-12-17T16:40:57+00:00,105,36.6,72,0.8,,,,
